2022.01.04 11:09:26, AUV切换为遥控模式！
2022.01.04 11:09:46, AUV切换为自主模式！
2022.01.04 11:09:50, AUV执行定深定向：定深1.0m，定向1.0度，巡航速度10，持续时间10秒！
2022.01.04 11:09:55, 任务开始执行！
2022.01.04 11:10:14, AUV设定原点！
2022.01.04 11:10:16, AUV设定原点！
2022.01.04 11:10:20, AUV执行返航任务：巡航速度10，持续时间10秒！
2022.01.10,20:45:10, AUV切换为遥控模式！
2022.01.10,20:45:42, AUV执行定深定向：定深0.0m，定向0.0度，巡航速度0，持续时间0秒！
2022.01.10,20:46:09, AUV设定原点！
2022.01.10,20:46:32, AUV执行定深定向：定深0.0m，定向0.0度，巡航速度0，持续时间0秒！
2022.01.10,20:46:58, AUV执行定深定向：定深0.0m，定向0.0度，巡航速度0，持续时间0秒！
2022.01.10,20:47:19, AUV执行定深定向：定深0.0m，定向0.0度，巡航速度0，持续时间0秒！
2022.01.10,20:57:05, AUV切换为遥控模式！
2022.01.10,21:50:50, AUV下达航点序列成功！
2022.01.10,21:50:50, AUV下达航点序列成功！
2022.01.10,21:50:50, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,21:50:50, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,21:58:27, 请先设置或加载航点
2022.01.10,21:58:36, AUV下达航点序列成功！
2022.01.10,21:58:36, AUV下达航点序列成功！
2022.01.10,21:58:36, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,21:58:36, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,21:59:30, AUV切换为自主模式！
2022.01.10,22:01:45, AUV切换为遥控模式！
2022.01.10,22:01:50, AUV切换为自主模式！
2022.01.10,22:01:58, AUV切换为应急模式！
2022.01.10,22:02:04, AUV切换为自主模式！
2022.01.10,22:02:09, AUV切换为遥控模式！
2022.01.10,22:02:16, AUV切换为自主模式！
2022.01.10,22:05:03, AUV切换为遥控模式！
2022.01.10,22:05:07, AUV切换为调试模式！
2022.01.10,22:05:12, AUV切换为遥控模式！
2022.01.10,22:05:16, AUV切换为自主模式！
2022.01.10,22:05:42, AUV设定原点！
2022.01.10,22:05:48, AUV设定原点！
2022.01.10,22:05:53, AUV执行返航任务：巡航速度0，持续时间0秒！
2022.01.10,22:06:31, AUV下达航点序列成功！
2022.01.10,22:06:31, AUV下达航点序列成功！
2022.01.10,22:06:31, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,22:06:31, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,22:07:09, AUV下达航点序列成功！
2022.01.10,22:07:09, AUV下达航点序列成功！
2022.01.10,22:07:09, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,22:07:09, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.10,22:09:08, AUV切换为自主模式！
2022.01.10,22:09:13, AUV设定原点！
2022.01.10,22:09:46, AUV下达航点序列成功！
2022.01.10,22:09:46, AUV下达航点序列成功！
2022.01.10,22:09:46, AUV执行改进多航点任务：巡航速度0，持续时间0秒！
2022.01.10,22:09:46, AUV执行改进多航点任务：巡航速度0，持续时间0秒！
2022.01.10,22:09:57, AUV执行返航任务：巡航速度0，持续时间0秒！
2022.01.10,22:11:12, AUV初始化成功！
2022.01.10,22:11:31, AUV切换为遥控模式！
2022.01.10,22:12:06, 开启户外状态周期回传！
2022.01.10,22:16:17, AUV初始化成功！
2022.01.11,10:23:17, AUV初始化成功！
2022.01.11,10:23:22, AUV初始化成功！
2022.01.11,10:23:33, AUV初始化成功！
2022.01.11,10:34:25, AUV初始化成功！
2022.01.11,10:34:29, AUV初始化成功！
2022.01.11,10:34:41, AUV初始化成功！
2022.01.11,10:34:52, 开启户外状态周期回传！
2022.01.11,10:36:28, AUV初始化成功！
2022.01.11,10:40:03, 关闭户外状态周期回传！
2022.01.11,10:40:09, 开启水池状态周期回传！
2022.01.11,10:42:36, 关闭水池状态周期回传！
2022.01.11,10:44:07, 开启水池状态周期回传！
2022.01.11,10:44:57, 关闭水池状态周期回传！
2022.01.11,10:45:11, AUV初始化成功！
2022.01.11,10:54:41, AUV初始化成功！
2022.01.11,10:54:51, 开启水池状态周期回传！
2022.01.11,10:55:19, 关闭水池状态周期回传！
2022.01.11,10:55:34, 开启水池状态周期回传！
2022.01.11,10:55:53, 关闭水池状态周期回传！
2022.01.11,11:00:16, AUV初始化成功！
2022.01.11,11:01:55, AUV下达航点序列成功！
2022.01.11,11:12:36, AUV下达航点序列成功！
2022.01.11,11:12:37, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,11:12:57, AUV下达航点序列成功！
2022.01.11,11:12:58, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,11:13:11, AUV切换为自主模式！
2022.01.11,11:14:24, AUV下达航点序列成功！
2022.01.11,11:14:24, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,11:16:17, AUV下达航点序列成功！
2022.01.11,11:16:18, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,11:16:44, AUV下达航点序列成功！
2022.01.11,11:16:44, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,11:25:26, AUV初始化成功！
2022.01.11,11:25:41, AUV下达航点序列成功！
2022.01.11,11:25:42, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,11:25:59, AUV执行返航任务：巡航速度0，持续时间0秒！
2022.01.11,14:38:52, AUV初始化成功！
2022.01.11,14:39:31, LED已打开！
2022.01.11,14:39:40, LED已关闭！
2022.01.11,14:40:01, 均衡系统排水2s！
2022.01.11,14:40:10, 均衡系统吸水2s！
2022.01.11,14:40:24, 均衡系统排水4s！
2022.01.11,16:36:17, AUV设定原点！
2022.01.11,16:53:00, AUV设定原点！
2022.01.11,16:53:14, AUV下达航点序列成功！
2022.01.11,16:53:14, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,16:53:18, AUV下达航点序列成功！
2022.01.11,16:53:18, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,18:09:16, AUV设定原点！
2022.01.11,18:09:24, AUV下达航点序列成功！
2022.01.11,18:09:24, AUV执行多航点任务：巡航速度0，持续时间0秒！
2022.01.11,18:09:36, AUV下达航点序列成功！
2022.01.11,18:09:36, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:09:45, AUV切换为自主模式！
2022.01.11,18:10:00, AUV下达航点序列成功！
2022.01.11,18:10:00, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:10:08, 获取舵-桨控制参数
2022.01.11,18:10:15, 任务开始执行！
2022.01.11,18:11:20, 任务停止执行！
2022.01.11,18:12:05, AUV切换为遥控模式！
2022.01.11,18:12:07, AUV切换为自主模式！
2022.01.11,18:12:14, AUV执行定深定向：定深0.0m，定向0.0度，巡航速度0，持续时间40秒！
2022.01.11,18:12:26, 任务开始执行！
2022.01.11,18:20:15, AUV下达航点序列成功！
2022.01.11,18:20:15, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:20:22, 任务停止执行！
2022.01.11,18:20:27, AUV下达航点序列成功！
2022.01.11,18:20:27, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:20:34, 任务开始执行！
2022.01.11,18:20:42, 任务停止执行！
